file_id	image_path	segmented_path	species	source	Phase
55821	dataset/images/lab/acer_campestre/ny1079-01-1.jpg	dataset/segmented/lab/acer_campestre/ny1079-01-1.png	Acer campestre	la	Vegetative
55822	dataset/images/lab/acer_campestre/ny1079-01-2.jpg	dataset/segmented/lab/acer_campestre/ny1079-01-2.png	Acer campestre	lab	Vegetative
55823	dataset/images/lab/acer_campestre/ny1079-01-3.jpg	dataset/segmented/lab/acer_campestre/ny1079-01-3.png	Acer campestre	lab	Vegetative

55824	dataset/images/lab/acer_campestre/ny1079-01-4.jpg	dataset/segmented/lab/acer_campestre/ny1079-01-4.png	Acer campestre	lab	Vegetative

55825	dataset/images/lab/acer_campestre/ny1079-02-1.jpg	dataset/segmented/lab/acer_campestre/ny1079-02-1.png	Acer campestre	lab	Vegetative

55826	dataset/images/lab/acer_campestre/ny1079-02-2.jpg	dataset/segmented/lab/acer_campestre/ny1079-02-2.png	Acer campestre	lab	Vegetative

55827	dataset/images/lab/acer_campestre/ny1079-02-3.jpg	dataset/segmented/lab/acer_campestre/ny1079-02-3.png	Acer campestre	lab	Vegetative
55828	dataset/images/lab/acer_campestre/ny1079-02-4.jpg	dataset/segmented/lab/acer_campestre/ny1079-02-4.png	Acer campestre	lab	Vegetative

55829	dataset/images/lab/acer_campestre/ny1079-03-1.jpg	dataset/segmented/lab/acer_campestre/ny1079-03-1.png	Acer campestre	lab	Vegetative

55830	dataset/images/lab/acer_campestre/ny1079-03-2.jpg	dataset/segmented/lab/acer_campestre/ny1079-03-2.png	Acer campestre	lab	Vegetative

55831	dataset/images/lab/acer_campestre/ny1079-03-3.jpg	dataset/segmented/lab/acer_campestre/ny1079-03-3.png	Acer campestre	lab	Vegetative

55832	dataset/images/lab/acer_campestre/ny1079-03-4.jpg	dataset/segmented/lab/acer_campestre/ny1079-03-4.png	Acer campestre	lab	Vegetative

55833	dataset/images/lab/acer_campestre/ny1079-04-1.jpg	dataset/segmented/lab/acer_campestre/ny1079-04-1.png	Acer campestre	lab	Vegetative

55834	dataset/images/lab/acer_campestre/ny1079-04-2.jpg	dataset/segmented/lab/acer_campestre/ny1079-04-2.png	Acer campestre	lab	Vegetative

55835	dataset/images/lab/acer_campestre/ny1079-04-3.jpg	dataset/segmented/lab/acer_campestre/ny1079-04-3.png	Acer campestre	lab	Vegetative

55836	dataset/images/lab/acer_campestre/ny1079-04-4.jpg	dataset/segmented/lab/acer_campestre/ny1079-04-4.png	Acer campestre	lab	Vegetative

55837	dataset/images/lab/acer_campestre/ny1079-05-1.jpg	dataset/segmented/lab/acer_campestre/ny1079-05-1.png	Acer campestre	lab	Vegetative

55838	dataset/images/lab/acer_campestre/ny1079-05-2.jpg	dataset/segmented/lab/acer_campestre/ny1079-05-2.png	Acer campestre	lab	Vegetative

55839	dataset/images/lab/acer_campestre/ny1079-05-3.jpg	dataset/segmented/lab/acer_campestre/ny1079-05-3.png	Acer campestre	lab	Vegetative

55840	dataset/images/lab/acer_campestre/ny1079-05-4.jpg	dataset/segmented/lab/acer_campestre/ny1079-05-4.png	Acer campestre	lab	Vegetative

55841	dataset/images/lab/acer_campestre/ny1079-06-1.jpg	dataset/segmented/lab/acer_campestre/ny1079-06-1.png	Acer campestre	lab	Vegetative

55842	dataset/images/lab/acer_campestre/ny1079-06-2.jpg	dataset/segmented/lab/acer_campestre/ny1079-06-2.png	Acer campestre	lab	Vegetative

55843	dataset/images/lab/acer_campestre/ny1079-06-3.jpg	dataset/segmented/lab/acer_campestre/ny1079-06-3.png	Acer campestre	lab	Vegetative

55844	dataset/images/lab/acer_campestre/ny1079-06-4.jpg	dataset/segmented/lab/acer_campestre/ny1079-06-4.png	Acer campestre	lab	Vegetative

55845	dataset/images/lab/acer_campestre/ny1079-07-1.jpg	dataset/segmented/lab/acer_campestre/ny1079-07-1.png	Acer campestre	lab	Young

55846	dataset/images/lab/acer_campestre/ny1079-07-2.jpg	dataset/segmented/lab/acer_campestre/ny1079-07-2.png	Acer campestre	lab	Young

55847	dataset/images/lab/acer_campestre/ny1079-07-3.jpg	dataset/segmented/lab/acer_campestre/ny1079-07-3.png	Acer campestre	lab	Young

55848	dataset/images/lab/acer_campestre/ny1079-07-4.jpg	dataset/segmented/lab/acer_campestre/ny1079-07-4.png	Acer campestre	lab	Young

55849	dataset/images/lab/acer_campestre/ny1079-08-1.jpg	dataset/segmented/lab/acer_campestre/ny1079-08-1.png	Acer campestre	lab	Vegetative

55850	dataset/images/lab/acer_campestre/ny1079-08-2.jpg	dataset/segmented/lab/acer_campestre/ny1079-08-2.png	Acer campestre	lab	Vegetative
55851	dataset/images/lab/acer_campestre/ny1079-08-3.jpg	dataset/segmented/lab/acer_campestre/ny1079-08-3.png	Acer campestre	lab	Vegetative

55852	dataset/images/lab/acer_campestre/ny1079-08-4.jpg	dataset/segmented/lab/acer_campestre/ny1079-08-4.png	Acer campestre	lab	Vegetative

55853	dataset/images/lab/acer_campestre/ny1079-09-1.jpg	dataset/segmented/lab/acer_campestre/ny1079-09-1.png	Acer campestre	lab	Vegetative

55854	dataset/images/lab/acer_campestre/ny1079-09-2.jpg	dataset/segmented/lab/acer_campestre/ny1079-09-2.png	Acer campestre	lab	Vegetative

55855	dataset/images/lab/acer_campestre/ny1079-09-3.jpg	dataset/segmented/lab/acer_campestre/ny1079-09-3.png	Acer campestre	lab	Vegetative

55856	dataset/images/lab/acer_campestre/ny1079-09-4.jpg	dataset/segmented/lab/acer_campestre/ny1079-09-4.png	Acer campestre	lab	Vegetative

55857	dataset/images/lab/acer_campestre/ny1080-01-1.jpg	dataset/segmented/lab/acer_campestre/ny1080-01-1.png	Acer campestre	lab	Young
55858	dataset/images/lab/acer_campestre/ny1080-01-2.jpg	dataset/segmented/lab/acer_campestre/ny1080-01-2.png	Acer campestre	lab	Young

55859	dataset/images/lab/acer_campestre/ny1080-01-3.jpg	dataset/segmented/lab/acer_campestre/ny1080-01-3.png	Acer campestre	lab	Young

55860	dataset/images/lab/acer_campestre/ny1080-01-4.jpg	dataset/segmented/lab/acer_campestre/ny1080-01-4.png	Acer campestre	lab	Young

55861	dataset/images/lab/acer_campestre/ny1080-02-1.jpg	dataset/segmented/lab/acer_campestre/ny1080-02-1.png	Acer campestre	lab	Young

55862	dataset/images/lab/acer_campestre/ny1080-02-2.jpg	dataset/segmented/lab/acer_campestre/ny1080-02-2.png	Acer campestre	lab	Young

55863	dataset/images/lab/acer_campestre/ny1080-02-3.jpg	dataset/segmented/lab/acer_campestre/ny1080-02-3.png	Acer campestre	lab	Young

55864	dataset/images/lab/acer_campestre/ny1080-02-4.jpg	dataset/segmented/lab/acer_campestre/ny1080-02-4.png	Acer campestre	lab	Young

55865	dataset/images/lab/acer_campestre/ny1080-03-1.jpg	dataset/segmented/lab/acer_campestre/ny1080-03-1.png	Acer campestre	lab	Young

55866	dataset/images/lab/acer_campestre/ny1080-03-2.jpg	dataset/segmented/lab/acer_campestre/ny1080-03-2.png	Acer campestre	lab	Young

55868	dataset/images/lab/acer_campestre/ny1080-03-3.jpg	dataset/segmented/lab/acer_campestre/ny1080-03-3.png	Acer campestre	lab	Young

55870	dataset/images/lab/acer_campestre/ny1080-03-4.jpg	dataset/segmented/lab/acer_campestre/ny1080-03-4.png	Acer campestre	lab	Young

55872	dataset/images/lab/acer_campestre/ny1080-04-1.jpg	dataset/segmented/lab/acer_campestre/ny1080-04-1.png	Acer campestre	lab	Young

55874	dataset/images/lab/acer_campestre/ny1080-04-2.jpg	dataset/segmented/lab/acer_campestre/ny1080-04-2.png	Acer campestre	lab	Young

55876	dataset/images/lab/acer_campestre/ny1080-04-3.jpg	dataset/segmented/lab/acer_campestre/ny1080-04-3.png	Acer campestre	lab	Young

